index,open,high,low,close,volume
20181228,642000,642000,624000,624000,730
20181227,637000,650000,630000,650000,958
20181226,660000,660000,639000,650000,565
20181224,657000,662000,648000,660000,401
20181221,655000,665000,653000,657000,766
20181220,670000,676000,652000,660000,657
20181219,660000,673000,653000,664000,678
20181218,670000,679000,649000,660000,788
20181217,677000,689000,665000,669000,951
20181214,650000,671000,648000,671000,1182
20181213,673000,674000,653000,653000,2269
20181212,661000,677000,656000,674000,1222
20181211,649000,669000,649000,661000,708
20181210,643000,658000,641000,657000,901
20181207,657000,661000,644000,653000,450
20181206,653000,660000,646000,657000,511
20181205,645000,660000,642000,653000,1187
20181204,644000,649000,639000,643000,1397
20181203,649000,653000,641000,643000,761
20181130,648000,650000,640000,650000,684
20181129,648000,650000,637000,648000,749
20181128,634000,648000,624000,648000,827
20181127,643000,643000,630000,634000,282
20181126,644000,652000,640000,643000,489
20181123,644000,649000,642000,644000,550
20181122,647000,650000,630000,645000,630
20181121,641000,653000,630000,647000,658
20181120,634000,645000,629000,642000,621
20181119,620000,634000,613000,634000,866
20181116,607000,617000,595000,613000,635
20181115,598000,601000,592000,599000,428
20181114,592000,605000,586000,604000,389
20181113,603000,603000,590000,592000,293
20181112,592000,603000,589000,594000,379
20181109,592000,607000,592000,592000,498
20181108,586000,607000,586000,597000,1051
20181107,588000,597000,586000,586000,689
20181106,584000,594000,582000,591000,524
20181105,599000,599000,580000,582000,721
20181102,595000,600000,592000,595000,691
20181101,602000,606000,598000,598000,642
20181031,614000,617000,601000,601000,989
20181030,623000,630000,613000,614000,989
20181029,621000,626000,615000,623000,721
20181026,625000,632000,606000,615000,694
20181025,637000,637000,615000,628000,1007
20181024,619000,636000,617000,636000,908
20181023,623000,625000,611000,614000,679
20181022,624000,638000,618000,626000,527
20181019,627000,636000,617000,629000,1003
20181018,642000,642000,626000,629000,621
20181017,639000,648000,638000,648000,360
20181016,637000,641000,631000,638000,709
20181015,631000,639000,629000,636000,486
20181012,674000,674000,632000,636000,962
20181011,678000,678000,655000,655000,1350
20181010,683000,683000,672000,681000,641
20181008,683000,689000,682000,684000,580
20181005,671000,684000,664000,683000,1455
20181004,659000,673000,653000,669000,1203
20181002,647000,660000,647000,658000,510
20181001,643000,657000,642000,653000,732
20180928,650000,650000,641000,648000,635
20180927,643000,654000,643000,644000,577
20180921,649000,651000,641000,651000,791
20180920,642000,643000,636000,640000,398
20180919,642000,651000,642000,649000,464
20180918,637000,647000,637000,646000,311
20180917,635000,646000,635000,642000,410
20180914,635000,647000,635000,642000,382
20180913,638000,646000,634000,635000,1084
20180912,631000,636000,626000,634000,1959
20180911,626000,631000,625000,626000,288
20180910,627000,635000,626000,626000,381
20180907,629000,634000,624000,633000,566
20180906,625000,632000,622000,623000,282
20180905,627000,630000,623000,624000,469
20180904,634000,637000,626000,626000,433
20180903,630000,641000,628000,635000,392
20180831,629000,634000,628000,632000,611
20180830,635000,635000,627000,628000,589
20180829,633000,635000,630000,632000,999
20180828,629000,635000,627000,632000,674
20180827,641000,642000,628000,631000,647
20180824,633000,640000,626000,632000,746
20180823,638000,647000,630000,634000,482
20180822,637000,641000,634000,634000,541
20180821,641000,646000,634000,639000,343
20180820,645000,645000,635000,641000,202
20180817,642000,642000,634000,638000,355
20180816,651000,652000,640000,649000,367
20180814,651000,653000,642000,653000,476
20180813,641000,650000,639000,649000,387
20180810,648000,648000,637000,647000,498
20180809,639000,647000,637000,647000,464
20180808,636000,649000,635000,637000,378
20180807,639000,645000,637000,640000,235
20180806,637000,648000,637000,647000,384
20180803,634000,647000,633000,642000,338
20180802,645000,653000,636000,637000,469
20180801,643000,653000,643000,650000,397
20180731,644000,646000,631000,641000,432
20180730,629000,637000,627000,635000,215
20180727,640000,645000,631000,633000,198
20180726,647000,647000,635000,635000,225
20180725,636000,640000,634000,639000,398
20180724,635000,636000,624000,630000,265
20180723,628000,633000,623000,630000,602
20180720,616000,628000,616000,623000,358
20180719,621000,634000,618000,618000,562
20180718,631000,631000,625000,625000,274
20180717,623000,637000,623000,634000,301
20180716,627000,632000,621000,627000,386
20180713,629000,636000,626000,633000,424
20180712,627000,633000,625000,629000,607
20180711,626000,627000,620000,622000,854
20180710,632000,637000,627000,629000,815
20180709,640000,644000,631000,635000,594
20180706,631000,640000,630000,640000,320
20180705,628000,639000,627000,635000,377
20180704,625000,636000,625000,631000,366
20180703,633000,637000,628000,628000,540
20180702,640000,643000,631000,634000,662
20180629,653000,653000,639000,644000,991
20180628,644000,651000,639000,649000,620
20180627,642000,645000,640000,641000,935
20180626,655000,658000,641000,649000,622
20180625,642000,655000,639000,654000,756
20180622,643000,648000,640000,646000,653
20180621,649000,652000,646000,648000,743
20180620,657000,661000,650000,653000,743
20180619,657000,668000,652000,661000,1047
20180618,674000,678000,660000,660000,848
20180615,669000,677000,657000,675000,1581
20180614,672000,683000,659000,675000,1745
20180612,683000,690000,672000,673000,951
20180611,668000,689000,668000,686000,1945
20180608,665000,675000,665000,668000,857
20180607,659000,673000,659000,669000,1369
20180605,650000,665000,648000,658000,839
20180604,660000,666000,650000,653000,1332
20180601,659000,666000,656000,656000,609
20180531,660000,665000,655000,655000,1151
20180530,663000,668000,657000,666000,1131
20180529,673000,675000,662000,664000,827
20180528,677000,679000,672000,673000,317
20180525,682000,682000,669000,674000,595
20180524,670000,680000,670000,676000,676
20180523,680000,681000,668000,676000,2450
20180521,675000,689000,672000,687000,900
20180518,668000,680000,668000,680000,675
20180517,676000,685000,669000,671000,728
20180516,678000,689000,674000,674000,500
20180515,682000,686000,677000,678000,408
20180514,681000,693000,681000,687000,771
20180511,682000,691000,679000,681000,712
20180510,668000,686000,668000,686000,938
20180509,677000,680000,665000,672000,1050
20180508,685000,685000,673000,677000,968
20180504,690000,690000,672000,682000,1147
20180503,695000,697000,682000,684000,825
20180502,679000,707000,679000,694000,2602
20180430,660000,678000,660000,678000,971
20180427,661000,667000,660000,660000,1416
20180426,668000,674000,663000,663000,661
20180425,680000,680000,669000,669000,694
20180424,668000,679000,662000,678000,2335
20180423,672000,675000,665000,668000,1863
20180420,672000,672000,669000,670000,1000
20180419,669000,678000,666000,672000,1187
20180418,668000,681000,668000,671000,602
20180417,669000,670000,663000,670000,478
20180416,670000,674000,667000,667000,341
20180413,676000,680000,667000,670000,1293
20180412,683000,688000,677000,680000,962
20180411,686000,688000,680000,684000,801
20180410,693000,700000,687000,693000,717
20180409,694000,700000,686000,698000,507
20180406,692000,699000,689000,698000,527
20180405,686000,700000,686000,691000,615
20180404,685000,694000,682000,686000,937
20180403,693000,698000,690000,691000,746
20180402,686000,701000,681000,697000,939
20180330,687000,693000,684000,691000,396
20180329,683000,689000,675000,682000,528
20180328,685000,686000,673000,686000,723
20180327,671000,689000,671000,678000,558
20180326,666000,679000,666000,675000,1032
