,open,high,low,close,volume
20181228,118500,120000,117500,118500,398062
20181227,118000,120000,117500,118500,458613
20181226,121500,122000,118500,120000,550552
20181224,122000,124000,121500,123000,301455
20181221,120500,122500,119500,122500,643918
20181220,121500,124500,120500,121500,682779
20181219,118500,123500,118500,123000,841175
20181218,117500,120000,116000,118000,889260
20181217,115000,118500,112500,116500,602835
20181214,119000,120000,115000,116500,534429
20181213,116500,120000,116500,118500,1093587
20181212,111500,121500,111000,118500,1558536
20181211,109500,112500,108500,111500,372363
20181210,108500,111000,108500,110500,367098
20181207,110000,112000,109500,111000,566780
20181206,107500,112500,106000,110500,896541
20181205,106000,108500,106000,107500,519108
20181204,108500,108500,105500,107500,612079
20181203,108500,109000,106500,108500,723565
20181130,103000,108000,102500,107000,3017114
20181129,102000,103000,99100,100000,811011
20181128,100500,101500,99800,101000,602728
20181127,95900,101500,95800,101000,1436195
20181126,93600,95800,93500,95100,663188
20181123,92800,94000,92600,93700,558490
20181122,98000,98000,92500,92800,1527106
20181121,96500,97900,95800,97800,883111
20181120,101000,101000,97100,97500,1295271
20181119,103000,103500,101000,101500,555495
20181116,104000,104500,102000,103000,361507
20181115,101000,103500,100500,103000,449187
20181114,103500,104500,100500,101500,637102
20181113,99900,102500,99600,102500,397209
20181112,105000,105500,100500,102000,792697
20181109,106000,110000,104500,105000,668003
20181108,109000,109000,105500,105500,588487
20181107,106500,108000,105500,107500,619311
20181106,105000,108500,104500,107500,775343
20181105,107000,107500,103500,104000,921610
20181102,107000,110500,106500,110000,586857
20181101,106500,109000,104500,108500,487868
20181031,106500,107000,103500,106500,752213
20181030,106500,109500,106000,107500,429587
20181029,106000,108500,104000,106000,876545
20181026,110000,113000,107500,108000,867074
20181025,116000,116000,102500,110000,1633392
20181024,117500,118500,116000,117000,776694
20181023,117000,118000,114000,116500,575347
20181022,115000,118000,114500,118000,378176
20181019,114500,117500,114000,115500,493067
20181018,118000,118500,114000,116000,708181
20181017,117500,119500,116500,118500,385112
20181016,114000,117500,113500,116500,503295
20181015,116500,117000,111500,113500,697689
20181012,115500,118000,114500,115500,672541
20181011,118500,120500,116000,116000,701523
20181010,122500,123000,119500,120000,536984
20181008,123500,124000,121500,122000,386710
20181005,126000,126000,123000,124500,284015
20181004,128500,129000,122500,124500,671140
20181002,128500,129500,128000,128500,215297
20181001,130000,130000,128500,129000,233662
20180928,130000,130500,128000,129500,295867
20180927,130000,130500,128500,130500,465760
20180921,131000,131000,127500,129000,765535
20180920,126500,130000,126000,129000,378436
20180919,128500,129000,125500,126500,420484
20180918,128500,130000,128000,128000,368661
20180917,129000,129500,128000,128500,305158
20180914,129500,131000,129000,129500,259936
20180913,130500,130500,128000,128500,411245
20180912,128500,131000,128000,129500,340635
20180911,130000,130500,128000,128000,514468
20180910,131500,133500,130000,131000,320236
20180907,136000,137000,131500,133000,793026
20180906,130000,136000,130000,134000,935048
20180905,126500,131000,126500,129000,871735
20180904,125500,127000,124500,126500,297393
20180903,124500,126000,123500,125000,264041
20180831,124000,126000,123000,125000,529278
20180830,124000,125000,123000,123500,385998
20180829,125000,125000,123500,124000,309579
20180828,125000,127000,124000,125000,402853
20180827,125000,125500,123500,124000,226756
20180824,123500,124500,123000,124500,232363
20180823,125500,126000,123000,124500,229027
20180822,125500,127000,124500,126000,329800
20180821,127000,127500,124000,125500,339831
20180820,127500,128000,126000,127500,310969
20180817,125500,127000,125000,126500,207735
20180816,122000,127000,122000,126500,561446
20180814,124500,125000,122500,123000,291859
20180813,125000,126000,123000,123500,319273
20180810,126000,127000,124500,126000,194355
20180809,126500,127500,125500,126000,532068
20180808,125500,129500,125500,127500,816582
20180807,124000,126000,123500,125000,285278
20180806,124500,126000,124000,124500,317150
20180803,124000,125500,124000,124000,468331
20180802,128000,128500,124000,125500,425332
20180801,130000,130500,128000,128500,244440
20180731,131000,131000,128500,129500,306556
20180730,129000,131000,128500,130500,179748
20180727,129500,131500,129000,129500,365369
20180726,131000,131500,128000,130000,484321
