timestamp,close,volume,open,high,low
2014.3.24,46950,5978,46950,47400,46730
2014.3.25,46230,4190,46400,46420,46000
2014.3.26,46060,3074,46100,46100,46000
2014.3.27,45540,2197,45800,45820,45540
2014.3.28,44950,2663,45020,45100,44500
2014.3.31,44960,6231,44960,45030,44940
2014.4.1,44500,3296,44320,44500,44320
2014.4.2,44150,3561,44260,44300,44150
2014.4.3,44650,1557,44180,44680,44180
2014.4.4,44210,6118,44340,44340,44180
2014.4.7,44790,3253,44600,44800,44600
2014.4.8,44700,1986,44600,44700,44490
2014.4.9,44440,1937,44560,44560,44290
2014.4.10,44450,2477,44350,44450,44100
2014.4.11,44370,6934,44650,44650,44350
2014.4.14,44700,3969,44380,44780,44380
2014.4.15,44660,2497,44780,44830,44600
2014.4.16,43750,7139,44650,44650,43750
2014.4.17,43780,4003,43900,43900,43700
2014.4.18,43700,1527,43800,43800,43130
2014.4.21,43290,2795,43800,43800,43130
2014.4.22,43430,1299,43290,43500,43000
2014.4.23,43300,5194,43430,43430,43000
2014.4.24,43280,6236,43300,43350,43250
2014.4.25,43600,3474,43500,43650,43450
2014.4.28,44070,5528,43950,44080,43950
2014.4.29,43270,6194,43480,43480,43270
2014.4.30,43250,3503,43500,43500,43220
2014.5.2,42920,3967,43010,43010,42840
2014.5.7,43500,1031,43500,43700,43360
2014.5.8,42800,9726,42980,42980,42700
2014.5.9,42800,1884,42800,42800,42680
2014.5.12,42740,3021,42720,42900,42720
2014.5.13,42760,1846,43150,43150,42680
2014.5.14,43080,4059,42770,43080,42760
2014.5.15,43290,1653,43500,43500,43290
2014.5.16,42950,1828,42950,43250,42950
2014.5.19,42880,4299,42950,42950,42740
2014.5.20,42790,3332,42800,42890,42780
2014.5.21,43020,4672,43200,43200,43020
2014.5.22,42930,691,43000,43000,42820
2014.5.23,42870,1820,43000,43000,42840
2014.5.26,42830,2750,42800,42880,42800
2014.5.27,42670,11245,42800,42830,42670
2014.5.28,41840,9305,42100,42180,41780
2014.5.29,41570,4556,41830,41830,41540
2014.5.30,41570,3509,41600,41600,41520
2014.6.2,41240,5191,41480,41480,41240
2014.6.3,41220,5974,41300,41550,41180
2014.6.5,41100,8215,41300,41300,41070
2014.6.9,41220,2318,41120,41400,41120
2014.6.10,41250,1570,41200,41250,41190
2014.6.11,41460,4921,41270,41530,41270
2014.6.12,41450,3441,41680,41680,41450
2014.6.13,41860,2641,41980,41980,41800
2014.6.16,42300,3839,42200,42300,42140
2014.6.17,41900,3469,42100,42100,41850
2014.6.18,41980,3394,42000,42100,41900
2014.6.19,42090,516,42130,42130,42090
2014.6.20,43250,3119,43000,43250,43000
2014.6.23,43200,2427,43250,43250,43040
2014.6.24,43250,2967,43170,43300,43170
2014.6.25,43290,6577,43050,43450,43050
2014.6.26,43230,1463,43490,43490,43150
2014.6.27,43300,2426,43230,43300,43060
2014.6.30,43030,1077,43290,43290,43000
2014.7.1,43390,894,43300,43500,43250
2014.7.2,43200,3458,43320,43350,43200
2014.7.3,43150,4269,43300,43300,43000
2014.7.4,43000,4160,43030,43100,42990
2014.7.7,42900,2315,43200,43200,42900
2014.7.8,43150,1396,43200,43200,43000
2014.7.9,43230,1351,43100,43230,43100
2014.7.10,43430,2204,43450,43450,43270
2014.7.11,44070,7841,43780,44090,43770
2014.7.14,43720,1931,43880,44060,43720
2014.7.15,43300,1953,43200,43400,42900
2014.7.16,43220,1062,43040,43300,43040
2014.7.17,43350,897,43250,43450,43190
2014.7.18,43730,987,43500,43900,43500
2014.7.21,43500,1305,43640,43650,43340
2014.7.22,43290,2589,43410,43500,43250
2014.7.23,43100,8578,43300,43300,43100
2014.7.24,43090,695,43200,43200,43080
2014.7.25,42830,2910,43100,43100,42830
2014.7.28,43320,336,43300,43380,43100
2014.7.29,43170,7737,43320,43500,43150
2014.7.30,42900,3254,43200,43200,42900
2014.7.31,42950,989,42990,42990,42830
2014.8.1,42900,723,42900,43000,42870
2014.8.4,43010,503,42900,43120,42900
2014.8.5,42980,3256,43100,43150,42900
2014.8.6,43150,107,43150,43170,43110
2014.8.7,43630,6105,43350,43670,43350
2014.8.8,44160,11904,43660,44180,43660
2014.8.11,43550,12928,44100,44100,43460
2014.8.12,43350,5024,43550,43550,43350
2014.8.13,43470,1350,43520,43520,43380
2014.8.14,43340,3636,43510,43550,43340
2014.8.18,42810,4586,43080,43080,42720
2014.8.19,42760,5803,42800,42850,42740
2014.8.20,42800,1715,42800,42800,42720
2014.8.21,42580,2995,42800,42800,42550
2014.8.22,42200,6085,42300,42300,42100
2014.8.25,42150,2081,42300,42300,42110
2014.8.26,42220,2844,42200,42240,42050
2014.8.27,42100,5593,42140,42150,42080
2014.8.28,42180,3380,42100,42180,42100
2014.8.29,42250,9842,42480,42500,42250
2014.9.1,42200,2986,42250,42250,42180
2014.9.2,42170,2726,42160,42180,42130
2014.9.3,41900,5163,41900,42000,41640
2014.9.4,41900,3408,41950,41950,41800
2014.9.5,41900,13016,41820,41900,41600
2014.9.11,41790,4233,41780,41800,41750
2014.9.12,41600,10781,41750,41750,41410
2014.9.15,41410,5904,41700,41700,41350
2014.9.16,41480,3473,41280,41480,41280
2014.9.17,41400,2206,41500,41500,41300
2014.9.18,41280,4314,41250,41300,41150
2014.9.19,41300,1986,41280,41670,41220
2014.9.22,41040,9849,41200,41200,40880
2014.9.23,41300,989,41500,41500,41110
2014.9.24,41350,2289,41070,41480,41070
2014.9.25,41150,4316,41280,41280,40900
2014.9.26,41430,2182,41200,41900,41200
2014.9.29,41410,2547,41500,41500,41300
2014.9.30,41480,216,41500,41510,41410
2014.10.1,41520,2222,41480,41520,41400
2014.10.2,41750,312,41700,41800,41600
2014.10.6,41200,2981,41600,41600,40810
2014.10.7,41570,11038,41250,41580,41250
2014.10.8,42100,13374,41800,42100,41800
2014.10.10,42260,7275,42500,42500,42250
2014.10.13,42500,19457,42490,42680,42490
2014.10.14,42440,10776,42490,42550,42380
2014.10.15,42200,9594,42400,42400,42120
2014.10.16,42480,7298,42500,42570,42300
2014.10.17,42550,2674,42510,42690,42480
2014.10.20,42460,8689,42400,42460,42300
2014.10.21,42500,10430,42650,42650,42450
2014.10.22,42550,6766,42500,42590,42500
2014.10.23,42400,2814,42500,42500,42350
2014.10.24,42080,15520,42050,42200,42050
2014.10.27,41900,9972,42950,42950,41700
2014.10.28,41690,7925,41800,41880,41650
2014.10.29,41670,5197,41780,41780,41600
2014.10.30,41300,13006,41570,41570,41300
2014.10.31,41000,10806,41200,41200,40900
2014.11.3,40570,18229,40650,40780,40500
2014.11.4,40900,12187,40800,40900,40720
2014.11.5,40690,11459,40850,40850,40600
2014.11.6,40270,18508,40500,40500,40140
2014.11.7,40100,6874,40500,40500,40100
2014.11.10,41150,12423,40900,41200,40900
2014.11.11,40600,9977,41000,41000,40550
2014.11.12,41270,6427,41000,41300,41000
2014.11.13,41260,1947,41150,41390,40950
2014.11.14,41170,6617,41440,41440,41050
2014.11.17,41960,5398,41500,42290,41500
2014.11.18,42230,5456,42000,42230,42000
2014.11.19,42630,8996,42650,42650,42500
2014.11.20,42450,14339,42530,42530,42200
2014.11.21,42840,9082,42820,42900,42720
2014.11.24,43100,5160,43000,43150,43000
2014.11.25,42900,13474,43100,43110,42900
2014.11.26,42910,8789,42990,42990,42840
2014.11.27,42290,12379,42810,42810,42240
2014.11.28,42370,595,42280,42450,42280
2014.12.1,41460,16410,41900,41900,41460
2014.12.2,42950,11052,42700,43100,42700
2014.12.3,43050,3324,42900,43100,42900
2014.12.4,43300,16076,43110,43350,43110
2014.12.5,43050,5728,43200,43200,43000
2014.12.8,43030,7714,43000,43030,42970
2014.12.9,42970,7648,43030,43250,42970
2014.12.10,43850,10500,43700,43850,43700
2014.12.11,43640,10416,43770,43770,43500
2014.12.12,43550,12047,43850,43850,43450
2014.12.15,43320,5674,43650,43650,43320
2014.12.16,42100,28240,42500,42600,42060
2014.12.17,42350,8758,41990,42350,41900
2014.12.18,42740,8507,42340,42800,42200
2014.12.19,42700,12577,42700,42700,42600
2014.12.22,42480,6452,42590,42630,42410
2014.12.23,42290,10806,42060,42290,41850
2014.12.24,42100,10821,42280,42280,42000
2014.12.26,42230,3325,42080,42240,42060
2014.12.29,42500,2221,42400,42600,42370
2014.12.30,42330,4917,42450,42450,42200
2015.1.2,42300,5509,42300,42990,42300
2015.1.5,42680,4362,42400,42700,42370
2015.1.6,42710,5180,42700,42950,42700
2015.1.7,42970,3266,43190,43190,42810
2015.1.8,42890,4833,43000,43000,42770
2015.1.9,42800,9482,42860,43000,42700
2015.1.12,42900,1495,42850,43000,42840
2015.1.13,43080,2017,43300,43300,43010
2015.1.14,42930,4366,43080,43080,42750
2015.1.15,42920,1376,43000,43000,42840
2015.1.16,43560,11870,43010,43600,43010
2015.1.19,44200,14187,44050,44250,44050
2015.1.20,44410,11748,44250,44410,44230
2015.1.21,45300,10929,45170,45300,45110
2015.1.22,45200,9301,45260,45260,44870
2015.1.23,45250,24613,45200,45400,45200
2015.1.26,45000,7655,45000,45240,44990
2015.1.27,44350,17133,44850,44850,44200
2015.1.28,45060,5690,44700,45170,44640
2015.1.29,45050,6932,45050,45050,44840
2015.1.30,44700,7793,44690,44720,44500
2015.2.2,45350,3153,45450,45450,44690
2015.2.3,45270,3297,45000,45280,44900
2015.2.4,44370,17289,44500,44990,44350
2015.2.5,44930,2888,45120,45120,44810
2015.2.6,44760,4373,44600,44800,44500
2015.2.9,44350,8071,44500,44550,43950
2015.2.10,44240,6173,44370,44500,44100
2015.2.11,43980,11901,44150,44550,43960
2015.2.12,44000,3500,43600,44000,43600
2015.2.13,43700,5149,44000,44100,43600
2015.2.16,44390,5909,44490,44600,43800
2015.2.17,44410,6494,44850,44850,44380
2015.2.23,43700,10735,44450,44970,43600
2015.2.24,44000,14467,43750,44300,43640
2015.2.25,43410,10708,43990,44100,43400
2015.2.26,43100,25884,43700,43700,42900
2015.2.27,43200,6902,43500,43500,43050
2015.3.2,43700,4135,43700,43770,43560
2015.3.3,43200,6563,43490,43510,42870
2015.3.4,43260,6765,43370,43450,43180
2015.3.5,43350,2912,43300,43400,43250
2015.3.6,43050,5754,43300,43300,42850
2015.3.9,42590,9365,42880,42990,42300
2015.3.10,42600,5097,43190,43190,42550
2015.3.11,42750,4986,42750,43090,42600
2015.3.12,42650,8556,42690,43000,42500
2015.3.13,42900,1480,42660,42900,42650
2015.3.16,43100,5813,43400,43400,42900
2015.3.17,42700,11754,43100,43100,42600
2015.3.18,42350,17116,42900,42900,42350
2015.3.19,42780,1886,42950,42950,42700
2015.3.20,42970,7875,43230,43230,42870
2015.3.23,43000,9867,43480,43480,42970
2015.3.24,42800,7748,43310,43310,42700
2015.3.25,42650,7137,42900,42900,42500
2015.3.26,42900,1964,42970,43000,42650
2015.3.27,43000,7620,43290,43290,42950
2015.3.30,42820,5987,42900,43000,42780
2015.3.31,42510,15163,42800,42800,42480
2015.4.1,42420,9867,42450,42470,42360
2015.4.2,42740,12541,42850,42850,42700
2015.4.3,42750,5235,42720,42750,42650
2015.4.6,42750,9688,43050,43050,42700
2015.4.7,42780,9534,42850,42900,42740
2015.4.8,42800,10382,42800,42970,42750
2015.4.9,42540,12254,42690,42740,42420
2015.4.10,42500,7449,42800,42800,42450
2015.4.13,42780,5095,42700,42840,42610
2015.4.14,42580,9748,42800,42800,42500
2015.4.15,42490,12444,42400,42500,42250
2015.4.16,42500,3647,42900,42900,42400
2015.4.17,42250,16893,42350,42350,42060
2015.4.20,42280,5363,42200,42300,42180
2015.4.21,42090,20167,42050,42090,41850
2015.4.22,42120,12139,42400,42400,42000
2015.4.23,41800,11772,41800,41900,41650
2015.4.24,41800,22268,41800,42000,41700
2015.4.27,41450,14998,41600,41640,41200
2015.4.28,41980,2846,41770,42140,41770
2015.4.29,42100,2284,42240,42240,42050
2015.4.30,42000,4426,42300,42300,41850
2015.5.4,41700,13256,41910,41910,41500
2015.5.6,41890,3717,42000,42250,41890
2015.5.7,41980,5275,41880,42100,41850
2015.5.8,41900,8887,41960,42000,41800
2015.5.11,42090,7072,41850,42100,41700
2015.5.12,41980,5596,42190,42190,41940
2015.5.13,42300,3193,41980,42340,41980
2015.5.14,42710,9780,42790,42840,42600
2015.5.15,42770,8257,42800,42910,42770
2015.5.18,42870,3698,42770,42900,42750
2015.5.19,42950,5008,43000,43000,42850
2015.5.20,42810,5566,42880,42880,42650
2015.5.21,42850,2911,42810,42860,42800
2015.5.22,42720,10281,42900,42900,42490
2015.5.26,42750,1790,42790,42790,42660
2015.5.27,42520,7278,42650,42650,42480
2015.5.28,42690,5522,42520,42800,42520
2015.5.29,42690,7278,42650,42690,42550
2015.6.1,42840,3434,42810,42850,42800
2015.6.2,42840,5954,42870,42890,42750
2015.6.3,42780,10782,42900,42900,42600
2015.6.4,42680,3381,42690,42690,42500
2015.6.5,42430,10521,42900,42900,42290
2015.6.8,42700,4445,42600,42790,42500
2015.6.9,42640,2234,42680,42780,42400
2015.6.10,42640,7002,42800,42800,42400
2015.6.11,42500,10610,42770,42770,42440
2015.6.12,42750,7539,42500,42760,42450
2015.6.15,42540,4871,42660,42730,42500
2015.6.16,42750,6715,42790,42800,42730
2015.6.17,42700,5188,42750,42750,42600
2015.6.18,42510,16452,42720,42790,42450
2015.6.19,42840,2999,42650,42850,42650
2015.6.22,42700,8560,42830,42840,42650
2015.6.23,42530,5514,42670,42670,42410
2015.6.24,42750,2948,42390,42750,42390
2015.6.25,42650,7785,42750,42800,42650
2015.6.26,42560,2829,42530,42700,42530
2015.6.29,43050,4754,43010,43100,42860
2015.6.30,42910,5510,43050,43050,42550
2015.7.1,42850,7139,42900,42900,42500
2015.7.2,42840,6296,42800,42840,42500
2015.7.3,42610,8808,42440,42630,42400
2015.7.6,42880,10474,42980,43000,42710
2015.7.7,42890,3038,42950,42950,42720
2015.7.8,42600,8849,42740,42740,42590
2015.7.9,42700,8152,42650,42840,42630
2015.7.10,42700,12363,42600,42700,42500
2015.7.13,42700,7673,42700,42800,42650
2015.7.14,42800,4785,42780,42850,42690
2015.7.15,42790,2350,42800,42810,42760
2015.7.16,42700,4392,42790,42790,42700
2015.7.17,42680,10756,42650,42680,42470
2015.7.20,42040,27756,42450,42450,41100
2015.7.21,42000,18129,42000,42090,41940
2015.7.22,41550,19580,41840,41840,41500
2015.7.23,41880,4863,41550,41890,41550
2015.7.24,41570,16240,41750,41790,41410
2015.7.27,41800,4524,42260,42260,41700
2015.7.28,41630,11731,41940,41950,41620
2015.7.29,41550,13285,41630,41700,41500
2015.7.30,41590,4818,41600,41700,41550
2015.7.31,41450,13627,41580,41580,41350
2015.8.3,41550,3034,41500,42000,41490
2015.8.4,41300,10544,41500,41540,41180
2015.8.5,41380,1761,41240,41500,41240
2015.8.6,41440,3699,41410,41480,41300
2015.8.7,41450,14765,41440,41450,41250
2015.8.10,41550,11636,41450,41570,41410
2015.8.11,41700,7558,41680,41730,41510
2015.8.12,42330,18930,42290,42400,42000
2015.8.13,42450,8626,42500,42500,42410
2015.8.17,42560,11881,42460,42590,42430
2015.8.18,42600,10000,42590,42700,42560
2015.8.19,42630,7874,42750,42750,42600
2015.8.20,43130,16480,42750,43200,42750
2015.8.21,44100,30616,43330,44300,43330
2015.8.24,44470,23980,44300,44600,44050
2015.8.25,44150,18023,44300,44300,43720
2015.8.26,42890,9569,43690,43800,42710
2015.8.27,42790,15912,42890,43050,42700
2015.8.28,42800,15091,42790,42900,42490
2015.8.31,43150,5999,42900,43170,42900
2015.9.1,43000,7510,43990,43990,43000
2015.9.2,43300,5505,43600,43600,43010
2015.9.3,43200,2726,43100,43500,43040
2015.9.4,43430,5694,43500,43550,43050
2015.9.7,43470,4230,43500,43500,43280
2015.9.8,43440,3744,43500,43500,43300
2015.9.9,43150,10857,43500,43500,42700
2015.9.10,42750,9752,43000,43000,42750
2015.9.11,43300,9980,42750,43400,42700
2015.9.14,42750,9459,43300,43300,42500
2015.9.15,42880,12722,42750,43000,42400
2015.9.16,42500,17434,42800,42900,42400
2015.9.17,42600,7213,42900,42900,42500
2015.9.18,42790,5139,42900,43000,42630
2015.9.21,43100,4922,43280,43290,43090
2015.9.22,43230,4602,43480,43480,43100
2015.9.23,43230,4648,43230,43240,42800
2015.9.24,43300,3736,43580,43590,43200
2015.9.25,43700,10155,43700,43790,43600
2015.9.30,43280,8603,43750,43750,43000
2015.10.1,42540,22863,43050,43050,42410
2015.10.2,42750,6182,42700,42800,42470
2015.10.5,43060,2951,43250,43400,43010
2015.10.6,43050,5845,43000,43300,42850
2015.10.7,43150,2361,43090,43300,43090
2015.10.8,42900,4434,43150,43150,42900
2015.10.12,43050,3169,42900,43220,42900
2015.10.13,43000,2807,43180,43180,42910
2015.10.14,43100,4066,43250,43300,43100
2015.10.15,43300,5822,43400,43400,43210
2015.10.16,43200,6724,43400,43400,43110
2015.10.19,43120,12386,43200,43440,42570
2015.10.20,42970,6017,43140,43140,42730
2015.10.21,43100,3892,43210,43210,42800
2015.10.22,42980,2593,42900,43040,42850
2015.10.23,42700,10542,43000,43000,42640
2015.10.26,42850,2616,43000,43000,42700
2015.10.27,42780,7283,42850,42850,42650
2015.10.28,42940,2694,42970,42980,42750
2015.10.29,42950,1438,43070,43070,42870
2015.10.30,42680,16809,42940,42940,42270
2015.11.2,42300,18537,42710,42710,42130
2015.11.3,42100,16815,42320,42320,41750
2015.11.4,41880,25522,42000,42450,41200
2015.11.5,41800,16807,41880,41880,41300
2015.11.6,41800,11391,41800,41910,41470
2015.11.9,41700,16518,41700,41790,41350
2015.11.10,41250,24222,41700,41890,41100
2015.11.11,41070,23391,41250,41490,41050
2015.11.12,41420,16119,41150,41600,40900
2015.11.13,41400,7503,41400,41490,41000
2015.11.16,41750,4485,41550,41750,41550
2015.11.17,41350,13411,41600,41600,41180
2015.11.18,41150,22408,41000,41400,40800
2015.11.19,41000,19110,41490,41490,40950
2015.11.20,40990,16081,41020,41200,40900
2015.11.23,40720,25046,40900,41000,40710
2015.11.24,40420,32493,41400,41400,40300
2015.11.25,40350,24877,41200,41200,40100
2015.11.26,40120,17803,40100,40150,39900
2015.11.27,40080,24811,40200,40290,39900
2015.11.30,39990,14585,40000,40100,39800
2015.12.1,40460,4525,40300,40500,40290
2015.12.2,40350,6229,40440,40440,40170
2015.12.3,39900,14671,40750,40750,39750
2015.12.4,39920,8572,40580,40580,39800
2015.12.7,40600,5300,40590,40720,40180
2015.12.8,40690,1331,40600,40690,40500
2015.12.9,40990,3405,40700,41000,40700
2015.12.10,41200,3414,41100,41200,40710
2015.12.11,40900,10193,41200,41290,40750
2015.12.14,41050,1823,41000,41280,40850
2015.12.15,40800,5697,41050,41050,40700
2015.12.16,40700,4663,40750,40750,40500
2015.12.17,40860,3910,40980,40980,40700
2015.12.18,40590,9597,40500,41000,40390
2015.12.21,40900,2320,40700,40990,40500
2015.12.22,41090,3388,40900,41090,40700
2015.12.23,40800,4267,41010,41010,40650
2015.12.24,40770,6320,40800,41050,40610
2015.12.28,40610,5163,40870,41070,40550
2015.12.29,40640,2703,40600,40750,40400
2015.12.30,40670,6494,40650,40800,40500
2016.1.4,41080,1341,40700,41080,40700
2016.1.5,41200,3633,41080,41290,41070
2016.1.6,41350,7550,41200,41420,41100
2016.1.7,41640,12680,41500,41750,41400
2016.1.8,41900,13697,41800,41990,41800
2016.1.11,42200,17822,42000,42350,42000
2016.1.12,42410,9870,42200,42410,42180
2016.1.13,42000,7521,42350,42350,41340
2016.1.14,42430,8676,42390,42450,41900
2016.1.15,42300,3271,42200,42320,42000
2016.1.18,42540,13939,42490,42590,42400
2016.1.19,42310,5265,42690,42690,42310
2016.1.20,42450,4420,42300,42510,42300
2016.1.21,42530,3405,42690,42690,42450
2016.1.22,42600,15857,42500,42660,42410
2016.1.25,42600,6657,42500,42690,42440
2016.1.26,42710,11050,42600,42710,42600
2016.1.27,42900,10891,42730,42970,42730
2016.1.28,43100,9146,42950,43250,42950
2016.1.29,43170,8290,43240,43250,42900
2016.2.1,43020,9404,43170,43330,43000
2016.2.2,43310,5432,43060,43340,43050
2016.2.3,43600,19885,43430,43640,43350
2016.2.4,43800,12752,43720,43900,43660
2016.2.5,44140,22858,43950,44170,43940
2016.2.11,46030,46488,44930,46030,44930
2016.2.12,48000,56672,47250,48030,47250
2016.2.15,46990,33658,47990,47990,46520
2016.2.16,46070,28160,46900,46900,45900
2016.2.17,46730,16392,46990,46990,46100
2016.2.18,47020,30436,46500,47150,46500
2016.2.19,47950,29516,47500,48020,47500
2016.2.22,47880,23438,48000,48050,47690
2016.2.23,48000,26699,47880,48050,46630
2016.2.24,48140,27075,48000,48250,48000
2016.2.25,48810,23528,48500,48880,48500
2016.2.26,49040,12936,48980,49040,48700
2016.2.29,48700,13388,49000,49050,48610
2016.3.2,48400,18003,48700,48990,48400
2016.3.3,48630,9623,48400,48800,48400
2016.3.4,48660,27398,48720,48900,48580
2016.3.7,48650,14245,48690,48990,48540
2016.3.8,48870,15834,48650,48900,48650
2016.3.9,49050,14144,48990,49080,48870
2016.3.10,48740,12736,49010,49010,48490
2016.3.11,49100,18497,49050,49330,49000
2016.3.14,48000,17440,48950,48950,47930
2016.3.15,47100,27082,47610,47610,47100
2016.3.16,47450,7087,47100,47450,47100
2016.3.17,47700,8782,48000,48010,47600
2016.3.18,47550,7666,47600,47600,47150
2016.3.21,47100,8318,47150,47500,47000
2016.3.22,46460,14912,46530,46960,46460
2016.3.23,46000,20827,46490,46860,45550
2016.3.24,45700,15970,45410,45990,45410
2016.3.25,46490,6513,45800,47920,45800
2016.3.28,45840,13085,46470,46470,45750
2016.3.29,45800,10531,46800,46800,45750
2016.3.30,46070,6830,46200,46280,45900
2016.3.31,45340,15343,45690,45690,45260
2016.4.1,45900,8465,45880,45900,45540
2016.4.4,45500,14028,45600,45600,44900
2016.4.5,45700,1947,45500,45700,45200
2016.4.6,45800,5069,45790,46100,45790
2016.4.7,45950,4800,45400,46000,45400
2016.4.8,46190,3134,46490,46490,46150
2016.4.11,46360,7366,46400,46500,46360
2016.4.12,46530,8795,46750,46890,46420
2016.4.14,46000,13065,46000,46300,46000
2016.4.15,45850,10665,46000,46000,45630
2016.4.18,46050,6009,46450,46450,45550
2016.4.19,45450,13775,45940,45940,45450
2016.4.20,45880,8175,46190,46190,45730
2016.4.21,45930,5391,46000,46000,45810
2016.4.22,46000,4722,45940,46390,45800
2016.4.25,46000,1698,46000,46000,45650
2016.4.26,45990,6886,46280,46300,45990
2016.4.27,46190,2686,45990,46200,45960
2016.4.28,46180,8809,46740,46740,45950
2016.4.29,46620,8745,46680,46680,46300
2016.5.2,47260,11542,46810,47380,46810
2016.5.3,47030,6859,47210,47300,47030
2016.5.4,47200,5386,47030,47460,47010
2016.5.9,47850,15815,47530,48000,47310
2016.5.10,47400,11493,47480,47600,47120
2016.5.11,47440,13710,47400,47600,47020
2016.5.12,47530,7252,47950,47950,47530
2016.5.13,47690,4331,47850,47850,47100
2016.5.16,48200,14774,48100,48260,47750
2016.5.17,48090,6215,47910,48150,47910
2016.5.18,48230,16989,48090,48350,48090
2016.5.19,48000,10290,48230,48250,47500
2016.5.20,47950,5761,47740,47960,47730
2016.5.23,47890,9355,47900,47900,47500
