년/월/일,종가,종가*3.75,대비,등락률(%),거래량(g),거래대금(원),시가,시가*3.75,고가,고가*3.75,저가,저가*3.75
"2019/04/26","48,050","180,188","150","0.31","40,260","1,930,637,650","47,900","179,625","48,050","180,188","47,860","179,475"
"2019/04/25","47,900","179,625","770","1.63","30,742","1,468,260,920","47,390","177,713","47,900","179,625","47,390","177,713"
"2019/04/24","47,130","176,738","180","0.38","58,318","2,736,831,050","47,000","176,250","47,150","176,813","46,950","176,063"
"2019/04/23","46,950","176,063","-200","-0.42","26,387","1,240,153,690","47,160","176,850","47,200","177,000","46,950","176,063"
"2019/04/22","47,150","176,813","230","0.49","12,848","604,840,090","46,880","175,800","47,230","177,113","46,880","175,800"
"2019/04/19","46,920","175,950","180","0.39","28,860","1,350,750,480","46,990","176,213","46,990","176,213","46,670","175,013"
"2019/04/18","46,740","175,275","-110","-0.23","25,376","1,185,669,050","46,790","175,463","46,790","175,463","46,690","175,088"
"2019/04/17","46,850","175,688","-320","-0.68","14,703","688,940,450","46,900","175,875","46,940","176,025","46,810","175,538"
"2019/04/16","47,170","176,888","20","0.04","18,257","861,365,500","47,100","176,625","47,240","177,150","47,100","176,625"
"2019/04/15","47,150","176,813","-460","-0.97","29,884","1,411,150,810","47,400","177,750","47,400","177,750","47,120","176,700"
"2019/04/12","47,610","178,538","-360","-0.75","8,715","414,586,640","47,650","178,688","47,660","178,725","47,530","178,238"
"2019/04/11","47,970","179,888","60","0.13","5,759","276,209,660","48,000","180,000","48,000","180,000","47,930","179,738"
"2019/04/10","47,910","179,663","30","0.06","9,769","468,760,670","47,890","179,588","48,040","180,150","47,890","179,588"
"2019/04/09","47,880","179,550","170","0.36","7,692","368,284,300","47,770","179,138","47,920","179,700","47,770","179,138"
"2019/04/08","47,710","178,913","500","1.06","9,572","455,381,720","47,380","177,675","47,790","179,213","47,350","177,563"
"2019/04/05","47,210","177,038","-160","-0.34","14,330","677,331,760","47,350","177,563","47,370","177,638","47,210","177,038"
"2019/04/04","47,370","177,638","-10","-0.02","6,394","302,416,970","47,380","177,675","47,380","177,675","47,250","177,188"
"2019/04/03","47,380","177,675","130","0.28","10,406","492,504,180","47,440","177,900","47,440","177,900","47,250","177,188"
"2019/04/02","47,250","177,188","0","0.00","19,585","923,014,300","47,200","177,000","47,250","177,188","47,060","176,475"
"2019/04/01","47,250","177,188","-90","-0.19","8,541","403,704,210","47,480","178,050","47,480","178,050","47,220","177,075"
"2019/03/29","47,340","177,525","-630","-1.31","19,934","944,572,730","47,930","179,738","47,930","179,738","47,250","177,188"
"2019/03/28","47,970","179,888","-130","-0.27","10,840","520,582,390","48,030","180,113","48,090","180,338","47,970","179,888"
"2019/03/27","48,100","180,375","20","0.04","12,102","582,626,480","48,050","180,188","48,180","180,675","48,050","180,188"
"2019/03/26","48,080","180,300","80","0.17","21,688","1,043,770,700","48,210","180,788","48,300","181,125","48,030","180,113"
"2019/03/25","48,000","180,000","300","0.63","20,082","964,834,870","47,830","179,363","48,130","180,488","47,830","179,363"
"2019/03/22","47,700","178,875","-150","-0.31","12,167","579,707,540","47,750","179,063","47,750","179,063","47,550","178,313"
"2019/03/21","47,850","179,438","210","0.44","21,955","1,049,891,130","47,700","178,875","47,860","179,475","47,700","178,875"
"2019/03/20","47,640","178,650","10","0.02","22,230","1,058,543,380","47,630","178,613","47,690","178,838","47,570","178,388"
"2019/03/19","47,630","178,613","210","0.44","6,344","302,224,960","47,420","177,825","47,690","178,838","47,420","177,825"
"2019/03/18","47,420","177,825","-250","-0.52","12,646","600,619,260","47,740","179,025","47,740","179,025","47,220","177,075"
"2019/03/15","47,670","178,763","40","0.08","8,905","422,851,980","47,600","178,500","47,670","178,763","47,320","177,450"
"2019/03/14","47,630","178,613","50","0.11","10,231","487,637,720","47,640","178,650","47,710","178,913","47,630","178,613"
"2019/03/13","47,580","178,425","400","0.85","9,264","440,733,370","47,380","177,675","47,690","178,838","47,350","177,563"
"2019/03/12","47,180","176,925","-280","-0.59","9,708","457,533,730","47,300","177,375","47,300","177,375","47,080","176,550"
"2019/03/11","47,460","177,975","250","0.53","14,591","691,920,070","47,330","177,488","47,480","178,050","47,330","177,488"
"2019/03/08","47,210","177,038","390","0.83","6,846","321,583,730","46,810","175,538","47,210","177,038","46,810","175,538"
"2019/03/07","46,820","175,575","-70","-0.15","24,340","1,139,536,600","46,880","175,800","46,890","175,838","46,770","175,388"
"2019/03/06","46,890","175,838","70","0.15","21,911","1,025,386,190","46,820","175,575","46,950","176,063","46,700","175,125"
"2019/03/05","46,820","175,575","-120","-0.26","19,529","912,673,220","46,810","175,538","46,820","175,575","46,640","174,900"
"2019/03/04","46,940","176,025","-670","-1.41","42,161","1,980,835,400","47,600","178,500","47,600","178,500","46,920","175,950"
"2019/02/28","47,610","178,538","-220","-0.46","40,634","1,934,410,490","47,820","179,325","47,820","179,325","47,530","178,238"
"2019/02/27","47,830","179,363","-90","-0.19","21,383","1,022,374,970","47,910","179,663","47,920","179,700","47,770","179,138"
"2019/02/26","47,920","179,700","-120","-0.25","15,181","726,467,640","47,950","179,813","47,950","179,813","47,730","178,988"
"2019/02/25","48,040","180,150","40","0.08","7,677","368,685,470","48,000","180,000","48,080","180,300","47,950","179,813"
"2019/02/22","48,000","180,000","-330","-0.68","22,726","1,090,969,090","48,330","181,238","48,330","181,238","47,900","179,625"
"2019/02/21","48,330","181,238","-150","-0.31","16,411","794,606,120","48,460","181,725","48,510","181,913","48,300","181,125"
"2019/02/20","48,480","181,800","480","1.00","26,928","1,305,487,810","48,320","181,200","48,550","182,063","48,320","181,200"
"2019/02/19","48,000","180,000","140","0.29","36,536","1,755,524,040","47,940","179,775","48,120","180,450","47,940","179,775"
"2019/02/18","47,860","179,475","280","0.59","19,393","927,983,190","47,690","178,838","47,920","179,700","47,690","178,838"
"2019/02/15","47,580","178,425","200","0.42","19,680","936,256,690","47,380","177,675","47,630","178,613","47,380","177,675"
"2019/02/14","47,380","177,675","30","0.06","13,494","639,043,870","47,190","176,963","47,380","177,675","47,050","176,438"
"2019/02/13","47,350","177,563","-40","-0.08","19,223","910,099,200","47,390","177,713","47,390","177,713","47,230","177,113"
"2019/02/12","47,390","177,713","-40","-0.08","15,923","753,454,450","47,460","177,975","47,460","177,975","47,220","177,075"
"2019/02/11","47,430","177,863","120","0.25","13,187","626,022,100","47,350","177,563","47,500","178,125","47,350","177,563"
"2019/02/08","47,310","177,413","170","0.36","13,757","651,809,940","47,300","177,375","47,420","177,825","47,300","177,375"
"2019/02/07","47,140","176,775","-190","-0.40","15,510","731,305,650","47,280","177,300","47,280","177,300","46,270","173,513"
"2019/02/01","47,330","177,488","250","0.53","30,989","1,465,376,790","47,090","176,588","47,350","177,563","47,090","176,588"
"2019/01/31","47,080","176,550","-10","-0.02","16,375","770,902,150","47,100","176,625","47,170","176,888","47,000","176,250"
"2019/01/30","47,090","176,588","240","0.51","35,500","1,667,623,370","46,850","175,688","47,160","176,850","46,850","175,688"
"2019/01/29","46,850","175,688","80","0.17","8,770","411,195,640","46,900","175,875","46,940","176,025","46,800","175,500"
"2019/01/28","46,770","175,388","330","0.71","25,707","1,202,143,940","46,600","174,750","46,810","175,538","46,600","174,750"
"2019/01/25","46,440","174,150","-140","-0.30","20,385","948,139,850","46,510","174,413","46,590","174,713","46,360","173,850"
"2019/01/24","46,580","174,675","20","0.04","6,608","307,658,700","46,580","174,675","46,600","174,750","46,480","174,300"
"2019/01/23","46,560","174,600","0","0.00","13,632","635,611,450","46,550","174,563","46,690","175,088","46,550","174,563"
"2019/01/22","46,560","174,600","80","0.17","9,953","463,135,240","46,410","174,038","46,570","174,638","46,410","174,038"
"2019/01/21","46,480","174,300","-140","-0.30","30,324","1,407,931,280","46,200","173,250","46,500","174,375","46,200","173,250"
"2019/01/18","46,620","174,825","0","0.00","13,251","617,737,930","46,620","174,825","46,650","174,938","46,560","174,600"
"2019/01/17","46,620","174,825","160","0.34","24,404","1,136,928,190","46,460","174,225","46,650","174,938","46,460","174,225"
"2019/01/16","46,460","174,225","-110","-0.24","41,770","1,943,562,150","46,470","174,263","46,610","174,788","46,250","173,438"
"2019/01/15","46,570","174,638","-50","-0.11","15,794","735,357,220","46,630","174,863","46,630","174,863","46,500","174,375"
"2019/01/14","46,620","174,825","140","0.30","10,878","506,440,550","46,480","174,300","46,630","174,863","46,480","174,300"
"2019/01/11","46,480","174,300","-110","-0.24","6,982","323,888,720","46,440","174,150","46,480","174,300","46,150","173,063"
"2019/01/10","46,590","174,713","300","0.65","10,844","505,051,950","46,440","174,150","46,620","174,825","46,440","174,150"
"2019/01/09","46,290","173,588","-140","-0.30","14,921","692,108,060","46,400","174,000","46,490","174,338","46,290","173,588"
"2019/01/08","46,430","174,113","-240","-0.51","9,484","440,497,310","46,560","174,600","46,560","174,600","46,290","173,588"
"2019/01/07","46,670","175,013","-110","-0.24","12,053","558,860,640","46,680","175,050","46,680","175,050","46,200","173,250"
"2019/01/04","46,780","175,425","50","0.11","29,504","1,382,311,870","46,800","175,500","47,000","176,250","46,730","175,238"
"2019/01/03","46,730","175,238","490","1.06","42,273","1,970,821,650","46,290","173,588","46,760","175,350","46,250","173,438"
"2019/01/02","46,240","173,400","270","0.59","21,244","980,343,750","45,970","172,388","46,280","173,550","45,960","172,350"
"2018/12/28","45,970","172,388","210","0.46","19,222","883,909,720","45,900","172,125","46,050","172,688","45,900","172,125"
"2018/12/27","45,760","171,600","-330","-0.72","23,322","1,067,748,560","45,800","171,750","45,920","172,200","45,650","171,188"
"2018/12/26","46,090","172,838","380","0.83","48,824","2,245,376,990","45,770","171,638","46,090","172,838","45,770","171,638"
"2018/12/24","45,710","171,413","210","0.46","21,545","984,043,040","45,530","170,738","45,710","171,413","45,530","170,738"
"2018/12/21","45,500","170,625","200","0.44","32,222","1,468,889,590","45,600","171,000","45,640","171,150","45,420","170,325"
"2018/12/20","45,300","169,875","0","0.00","11,258","509,950,530","45,340","170,025","45,340","170,025","45,200","169,500"
"2018/12/19","45,300","169,875","40","0.09","33,974","1,539,771,210","45,280","169,800","45,360","170,100","45,280","169,800"
"2018/12/18","45,260","169,725","190","0.42","34,033","1,541,943,190","45,310","169,913","45,400","170,250","45,250","169,688"
"2018/12/17","45,070","169,013","-90","-0.20","5,204","234,791,810","45,380","170,175","45,380","170,175","45,050","168,938"
"2018/12/14","45,160","169,350","160","0.36","11,199","505,213,870","45,000","168,750","45,180","169,425","45,000","168,750"
"2018/12/13","45,000","168,750","-180","-0.40","11,599","522,754,960","45,190","169,463","45,200","169,500","45,000","168,750"
"2018/12/12","45,180","169,425","-70","-0.15","11,323","511,731,550","45,250","169,688","45,250","169,688","45,150","169,313"
"2018/12/11","45,250","169,688","50","0.11","31,990","1,446,702,420","45,130","169,238","45,270","169,763","45,130","169,238"
"2018/12/10","45,200","169,500","590","1.32","43,063","1,943,448,980","44,950","168,563","45,270","169,763","44,950","168,563"
"2018/12/07","44,610","167,288","-80","-0.18","4,689","209,362,650","44,700","167,625","44,700","167,625","44,600","167,250"
"2018/12/06","44,690","167,588","350","0.79","22,786","1,016,447,500","44,500","166,875","44,700","167,625","44,470","166,763"
"2018/12/05","44,340","166,275","180","0.41","9,869","437,832,790","44,480","166,800","44,480","166,800","44,310","166,163"
"2018/12/04","44,160","165,600","110","0.25","8,558","377,946,470","44,060","165,225","44,190","165,713","44,060","165,225"
"2018/12/03","44,050","165,188","-220","-0.50","24,251","1,068,040,580","44,260","165,975","44,270","166,013","43,990","164,963"
"2018/11/30","44,270","166,013","-30","-0.07","9,906","438,223,890","44,260","165,975","44,330","166,238","44,000","165,000"
