index,open,high,low,close,volume
20181228,77700,78700,77300,78200,68074
20181227,75200,78800,75200,77000,149384
20181226,74800,75500,73600,74200,84613
20181224,76300,76700,75500,75800,31853
20181221,74800,76400,74200,76300,50188
20181220,77300,77300,75000,75700,108208
20181219,76900,78800,76200,78500,60864
20181218,76800,77200,75200,76300,82440
20181217,78500,78800,77500,77800,40613
20181214,80700,81200,78100,78500,65468
20181213,82200,82900,80700,81200,52701
20181212,79000,81600,78700,81500,53625
20181211,80400,80500,78100,78600,43897
20181210,79000,79900,78600,79200,59666
20181207,82900,83000,80500,81000,55992
20181206,84600,84600,79900,80200,103081
20181205,84100,86000,84000,84400,60674
20181204,90700,90700,86400,86800,73165
20181203,87300,90700,86600,90600,126113
20181130,84800,85500,82700,85000,75004
20181129,83000,87600,83000,84500,262867
20181128,80600,81100,79600,80500,41498
20181127,80500,81400,79600,80600,79436
20181126,77000,81000,77000,79600,104067
20181123,79800,80900,76700,76800,87500
20181122,79600,81800,78800,80000,59737
20181121,81400,81400,78400,79600,143151
20181120,83500,84500,81700,82000,87429
20181119,83800,85200,83300,85000,56920
20181116,83600,84500,82900,83800,50640
20181115,81500,82700,80800,82500,37955
20181114,83500,83600,81200,81400,79742
20181113,82500,85000,80700,83400,106447
20181112,83800,85800,82300,84500,74119
20181109,85700,85800,82500,83800,68422
20181108,87000,87500,83600,84200,109863
20181107,82900,87700,82500,83600,237460
20181106,83500,84100,81200,81900,53323
20181105,83200,84300,81400,83400,65075
20181102,77400,83900,77200,83500,157893
20181101,75800,77500,75600,76000,64179
20181031,74200,75900,73100,75500,78274
20181030,70500,74900,70500,74000,80459
20181029,70600,72900,70600,71400,114573
20181026,71500,71800,69600,71100,102471
20181025,70800,72500,70300,71000,167542
20181024,73800,75400,73000,74400,94641
20181023,76500,76500,72500,73000,87850
20181022,76100,77000,75400,76900,64932
20181019,75800,77000,74300,76900,65011
20181018,76500,77500,75800,76600,41210
20181017,76700,78700,75500,76600,84186
20181016,74500,75400,74200,75300,62781
20181015,76100,77900,74400,74700,90650
20181012,73400,76600,73400,75900,110480
20181011,75900,76700,73600,74000,188626
20181010,81400,82400,78500,79000,115242
20181008,82600,83400,81300,82000,90534
20181005,83800,85000,82100,83200,155679
20181004,89000,89100,83200,84500,188621
20181002,95100,95100,88200,88900,210338
20181001,97400,97700,94800,95000,53120
20180928,97700,98400,94600,97500,46643
20180927,95000,97800,94600,97200,68983
20180921,96900,97600,94500,95400,68294
20180920,92900,98000,92300,96300,152674
20180919,91400,93200,90600,92800,67224
20180918,90800,91000,90100,90600,48040
20180917,90800,92900,90600,91500,30327
20180914,92500,94000,92000,93100,77328
20180913,91200,91900,89900,91900,68017
20180912,92000,92800,89200,90200,78493
20180911,91400,93600,90500,92300,72431
20180910,88100,91300,87700,90700,76396
20180907,88400,89100,86500,89100,74517
20180906,88900,89900,88200,88300,68339
20180905,90700,90900,89700,89900,45555
20180904,91700,91700,90000,90700,85178
20180903,92300,93000,90600,90900,60164
20180831,92500,92800,89300,92200,111042
20180830,93800,94300,92600,92800,59057
20180829,94300,95100,92200,93500,108092
20180828,96200,98800,94000,94000,149417
20180827,90100,94700,90100,94200,167085
20180824,88100,90700,87700,89900,62084
20180823,89000,89700,87800,89500,55854
20180822,89900,90400,87700,87800,80410
20180821,86500,90000,85200,89600,128184
20180820,85000,86500,84800,86000,63822
20180817,82700,86400,82700,84500,121657
20180816,82300,83100,81200,81900,165679
20180814,84300,85600,82700,84500,148999
20180813,88700,89100,82000,83700,287378
20180810,91000,91100,88800,89800,102737
20180809,91100,91300,89500,90800,108579
20180808,92000,93000,90800,91000,58850
20180807,91600,91800,90200,91000,63908
20180806,92900,92900,91300,91400,50185
20180803,91000,93000,90800,93000,43963
20180802,93800,93800,90000,90400,121671
20180801,93500,94300,93200,93800,29060
20180731,94300,94500,92400,92900,78051
20180730,94400,95900,92600,94700,41963
20180727,96000,96000,94300,94600,43980
20180726,92200,98000,91800,95000,132146
20180725,91900,93200,91200,91500,59936
20180724,89600,92300,89600,92200,96839
20180723,93100,93700,91400,91600,66356
20180720,92700,94200,91400,93600,104543
20180719,96500,97600,93300,93700,125975
20180718,97400,98700,96200,96500,71261
20180717,98600,98600,96100,96200,99352
20180716,101000,101500,98300,98500,75919
20180713,101000,102500,99700,101000,138159
20180712,100000,100500,97900,99700,65111
20180711,100000,100500,96300,99500,145985
20180710,100500,104000,100000,100500,158176
20180709,101000,102500,99200,99600,95045
20180706,100000,103000,98800,101500,151578
20180705,99600,100500,97800,99300,75648
20180704,102000,102500,98100,98600,124460
20180703,101000,103000,99000,103000,161665
20180702,108500,108500,99500,100000,182007
20180629,104500,109500,102000,108500,158534
20180628,105000,106000,103000,104000,86569
20180627,104500,108500,104500,106000,105622
