,open,high,low,close,volume
20181228,62300,63500,62100,62300,464747
20181227,62500,63300,61700,61900,562848
20181226,61000,61900,60600,61300,453037
20181224,62000,62400,61200,61800,513348
20181221,62000,62900,61800,62400,829833
20181220,64500,64500,61800,62600,1670644
20181219,66900,67500,65100,65300,885616
20181218,68200,68800,66800,66900,627414
20181217,67700,69200,66900,69100,442744
20181214,68300,68500,66300,67700,517004
20181213,68000,68800,67100,68200,816888
20181212,66600,68200,65600,67900,681318
20181211,65600,67100,65500,66700,626998
20181210,66300,67400,64800,65300,806527
20181207,69400,69900,66700,66900,1100511
20181206,71300,71300,68000,68600,1054851
20181205,72100,72600,71200,71700,499091
20181204,74200,74700,73100,73200,514998
20181203,74000,74500,73000,74400,671484
20181130,73800,74400,72000,72500,768135
20181129,73500,74600,73400,73800,923966
20181128,72100,72700,71800,72400,479308
20181127,71700,72300,71500,71800,478157
20181126,69500,71600,69400,71200,658708
20181123,69500,70100,68900,69400,290959
20181122,70500,70600,68200,69200,561708
20181121,69900,70300,69200,69700,483426
20181120,70800,71000,69600,70500,563066
20181119,72200,73100,71200,71600,637905
20181116,70900,72200,70300,71800,690404
20181115,69600,70400,68900,70300,459559
20181114,69600,71000,68700,69500,527813
20181113,70200,71400,68800,70200,680494
20181112,71000,72200,70000,71200,631830
20181109,70000,72300,69700,71400,1129981
20181108,68800,70700,68300,69900,1080894
20181107,68400,69200,66600,67300,738870
20181106,67600,68800,67100,68000,497920
20181105,67000,68000,66200,67600,503725
20181102,66600,67700,66200,67200,792881
20181101,63700,66500,63400,66000,1056023
20181031,61500,63800,61000,63300,819823
20181030,58800,61700,58800,61200,811009
20181029,60900,61900,59100,59400,683052
20181026,63100,63900,60500,61100,920580
20181025,62700,63400,61700,62700,661062
20181024,64200,64700,63500,64500,543722
20181023,65200,65300,63100,63600,597221
20181022,64600,66300,64600,65700,354570
20181019,64400,66000,63200,65700,581306
20181018,64700,66000,64400,64900,499578
20181017,64500,65800,64000,64600,676861
20181016,64300,65000,63400,63500,508133
20181015,64400,65500,63800,64300,434965
20181012,62100,65100,62100,64400,1114941
20181011,62400,63900,61600,62300,1441637
20181010,67200,67300,65200,65200,1103556
20181008,69600,69700,67800,67800,922338
20181005,68600,71200,68000,70500,952571
20181004,69700,70200,68400,69000,681480
20181002,70700,71300,69900,69900,600630
20181001,71000,71500,70200,71100,558633
20180928,70000,71900,69900,71000,1255496
20180927,69100,70100,68500,69600,897762
20180921,69600,70100,69100,69500,760994
20180920,68300,70000,68200,69000,1194328
20180919,69400,69400,67900,68200,1494446
20180918,71200,71500,68400,69000,2606048
20180917,72400,73200,71800,71900,521629
20180914,72100,72800,71700,72100,809166
20180913,72400,72800,71100,71500,971252
20180912,73200,73500,71900,72100,852910
20180911,73000,74300,72500,72800,712081
20180910,74200,74300,73000,73100,858482
20180907,74200,75100,73400,74300,670262
20180906,75900,76200,74000,74400,1144654
20180905,77800,78500,76100,76200,873220
20180904,77200,79200,77100,78100,922362
20180903,76800,78800,76600,76700,924434
20180831,75800,77100,75300,76800,762868
20180830,77300,77400,75800,76400,1006172
20180829,74200,77500,73600,77200,1417794
20180828,75100,75800,73600,73700,903687
20180827,74400,75200,73700,74300,863531
20180824,74100,75200,73400,74700,815946
20180823,73600,74600,72700,74600,879090
20180822,73800,75600,73200,73200,1110406
20180821,72300,73500,70800,73400,1404794
20180820,72800,73500,71900,72200,670001
20180817,74100,74100,72400,72400,849229
20180816,72500,73900,71300,73300,920959
20180814,76100,76200,70900,73600,2397515
20180813,78200,78400,75800,76300,840750
20180810,80000,80700,78700,79000,961866
20180809,76400,80500,76000,80400,2132947
20180808,75400,77300,75400,75900,1286104
20180807,75000,75500,74100,75100,723231
20180806,75400,75900,74200,74400,685629
20180803,75400,75700,74400,75200,582491
20180802,75100,76100,74800,75100,616998
20180801,75500,76200,75000,75300,761449
20180731,75400,75600,74800,74800,725430
20180730,76300,76400,74800,75200,997710
20180727,80300,80400,75800,76000,2544391
20180726,81400,82200,80300,81800,725896
20180725,80500,82400,79800,80800,772980
20180724,78200,81700,76800,81000,991504
20180723,80900,81200,78100,78400,739344
20180720,82100,83100,81000,81000,829497
20180719,81000,83100,80000,82300,1164716
20180718,78600,82200,78600,80700,1191864
20180717,76100,79700,75200,78800,1323914
20180716,77600,78200,76400,76400,553500
20180713,75900,77800,75900,77600,935008
20180712,76400,76400,75100,75200,946355
20180711,78400,78400,75800,76600,759985
20180710,77700,79300,77400,78200,712585
20180709,75100,78100,75100,77700,799335
20180706,77100,78300,73500,75700,1722781
20180705,77000,78800,76000,77800,706939
20180704,79500,80300,77400,77700,587475
20180703,80200,80900,79100,79900,530738
20180702,83100,83100,79500,79700,682443
20180629,81200,83100,80800,83000,621098
20180628,82900,83300,80800,80900,715235
20180627,84000,85300,83300,83700,507804
20180626,84300,84700,82500,83900,537279
20180625,82300,85000,81800,85000,636705
20180622,81300,83100,81100,82300,751430
20180621,86300,87200,82000,82000,1395643
20180620,85100,87400,85000,86200,645081
20180619,88200,89900,85100,85200,1012856
20180618,91000,92400,88500,89200,767776
20180615,94500,94500,90800,90900,990542
20180614,91400,94100,91000,93600,1444370
20180612,89200,91400,89200,90000,602030
20180611,90100,90300,88600,89000,705279
20180608,90300,91300,89700,89900,488599
20180607,91000,91800,89600,90600,706966
20180605,89400,90800,89200,90400,736301
20180604,88600,89700,88300,89000,795419
20180601,92500,92500,87800,88200,2401034
20180531,97600,97600,92000,92600,1461934
20180530,96200,98300,95800,96100,733711
20180529,96200,96700,95500,96100,403665
20180528,96500,97600,95300,95500,519213
20180525,97900,98700,96600,96700,523804
20180524,98800,100500,97300,98000,652598
20180523,98200,99300,98100,98700,615723
20180521,98000,98800,96900,98700,556964
20180518,98100,98700,97000,98000,473681
20180517,97200,98900,97000,98000,602962
20180516,96300,97500,96100,96900,430070
20180515,97100,97500,95200,96600,814411
20180514,99500,100500,97200,97500,829383
20180511,95600,98600,95600,97700,758454
20180510,95000,97500,94700,95200,751327
20180509,95100,95800,93500,95300,863912
20180508,100000,101000,94700,94900,1398768
20180504,103000,103000,98700,99000,972728
20180503,102000,103000,101000,103000,625844
20180502,102500,103000,100000,101500,767053
20180430,102500,103500,102000,102000,575630
20180427,103500,104500,101000,101500,721921
20180426,101000,103500,99900,101000,835327
20180425,101500,101500,99100,100000,932572
20180424,105000,105500,101000,102000,868864
20180423,110500,111000,103500,104500,1135766
20180420,105500,111000,105500,109000,1238083
20180419,105000,107000,104500,106000,726517
20180418,106500,107000,104000,104000,561642
20180417,105000,107000,104000,105000,473722
20180416,106500,107000,104000,104500,519056
20180413,108000,108500,106000,106500,517401
20180412,106500,108000,105500,106500,861133
20180411,107500,108000,105500,107000,533827
20180410,109000,109000,105500,107000,958899
20180409,111500,112500,108500,109500,727354
20180406,105500,111500,105000,111000,1519548
20180405,106000,107500,104500,105000,644490
20180404,110500,111000,104500,104500,909945
20180403,109500,112000,109000,110500,377188
20180402,110000,112500,110000,110500,340315
20180330,110500,111000,109500,109500,433535
20180329,109500,110000,107500,109000,561254
20180328,111000,111000,108500,109000,590380
20180327,111500,113000,111000,111500,904837
20180326,106500,110500,106500,109000,730771
20180323,108500,110000,106000,106500,696815
20180322,112500,114500,111000,111500,608489
20180321,109500,112500,109500,112500,575722
20180320,110000,111000,109000,110000,488409
20180319,110500,112500,110000,111000,302806
20180316,111000,111500,109000,110500,639540
20180315,113500,113500,109000,111000,753489
20180314,112500,114000,111000,113000,754011
20180313,110500,114000,109500,113500,1151725
20180312,110500,111000,108500,109500,573289
20180309,109000,110500,108000,109000,830465
20180308,108500,109000,105500,107000,911403
20180307,106500,109000,105000,107000,1125599
20180306,105000,106000,102500,106000,813711
20180305,101500,104500,101500,103500,866063
20180302,99400,101500,98000,101000,499607
20180228,100000,102500,99900,99900,508365
20180227,103000,103500,100500,100500,386397
20180226,103000,103000,100500,102000,480011
20180223,100000,102000,99000,102000,502137
20180222,101500,103000,99200,99800,572286
20180221,103500,104000,100000,101000,895703
20180220,102500,104500,101500,104000,632252
20180219,99400,103000,98900,102500,893618
20180214,100000,101000,96900,97200,570366
20180213,97400,101000,96500,99200,782907
20180212,97300,98300,96400,96700,390757
20180209,96500,98200,96200,96300,645790
20180208,97200,99700,97100,99300,813467
20180207,98000,100500,96000,96500,1082264
20180206,94900,96700,93400,96100,1094871
20180205,99400,99600,97200,97700,745562
20180202,103000,103500,99900,101000,975164
20180201,103000,104000,101000,103500,860002
20180131,100500,103000,100000,102500,804156
20180130,101500,103000,100500,101000,735284
20180129,103000,104000,101000,102000,1031365
20180126,104500,105500,102500,103000,777285
20180125,102500,104500,101000,103500,899675
20180124,107500,108500,102000,102500,1406328
20180123,107500,110000,103500,109500,1166939
20180122,108500,109000,106500,109000,469543
20180119,107000,109500,106500,107500,533503
20180118,112000,112000,107500,107500,503773
20180117,108500,113000,108000,110500,815085
20180116,106500,108500,105000,108000,555065
20180115,109500,110000,106000,107000,695438
20180112,110500,111500,107000,109500,823474
20180111,110000,111000,108500,110500,791790
20180110,109000,111500,107500,109000,909012
20180109,105000,110000,105000,109000,1387659
20180108,113500,114000,103500,105000,2480029
20180105,106000,111500,106000,111000,883832
20180104,110500,111000,105000,106000,977691
20180103,109500,110500,107500,109500,627983
20180102,106500,111000,105500,109500,948226
20171228,107000,109500,105000,106000,822274
20171227,101500,107000,101000,107000,1187463
20171226,101500,102500,99200,99200,934572
20171222,100500,101500,99400,100000,591818
20171221,102500,103000,98400,99300,1115976
20171220,104000,104500,101500,103000,587992
20171219,104500,106000,102500,103500,825856
20171218,106500,106500,103000,104000,716415
20171215,103000,106000,102500,105500,1496469
20171214,97900,104000,97900,101500,2495201
20171213,98000,98300,96900,97900,723184
20171212,96000,98700,96000,98000,1318613
20171211,95900,96800,94800,96700,786713
20171208,96000,97200,94200,94500,794868
20171207,94500,96500,94000,96200,1287867
20171206,94100,96500,93600,93600,862910
20171205,93900,94800,93200,94300,458094
20171204,93600,94400,92500,94400,551331
20171201,90600,93900,90500,93500,840847
20171130,91300,92000,89500,90000,898094
20171129,92500,92800,90600,91400,679015
20171128,92500,93300,91200,91800,608339
20171127,93500,94400,92100,92200,663809
20171124,93600,94400,93000,93400,404062
20171123,96000,96700,94100,94100,745586
